klesse-college-graduate-student-receives-prestigious-fellowship,https://ceid.utsa.edu/klesse-college-graduate-student-receives-prestigious-fellowship/
klesse-college-students-designing-tiny-homes-for-disabled-veterans,https://ceid.utsa.edu/klesse-college-students-designing-tiny-homes-for-disabled-veterans/
dr-ibukun-awolusi-awarded-don-b-daily-safety-grant-for-the-second-consecutive-year,https://ceid.utsa.edu/dr-ibukun-awolusi-awarded-don-b-daily-safety-grant-for-the-second-consecutive-year/
brendy-rincon-troconis-recognized-with-early-career-research-fellowship,https://ceid.utsa.edu/brendy-rincon-troconis-recognized-with-early-career-research-fellowship/
utsa-community-engagement-project-highlights-the-impact-of-climate-change,https://ceid.utsa.edu/utsa-community-engagement-project-highlights-the-impact-of-climate-change/
utsa-klesse-scholar-hopes-to-change-the-future-of-carbon-emissions,https://ceid.utsa.edu/utsa-klesse-scholar-hopes-to-change-the-future-of-carbon-emissions/
in-memoriam-of-g-v-s-raju-ph-d,https://ceid.utsa.edu/in-memoriam-of-g-v-s-raju-ph-d/
klesse-college-announces-leadership-appointments,https://ceid.utsa.edu/klesse-college-announces-leadership-appointments/
eugene-john-elected-senior-member-of-the-national-academy-of-inventors,https://ceid.utsa.edu/eugene-john-elected-senior-member-of-the-national-academy-of-inventors/
rena-bizios-elected-to-national-academy-of-engineering,https://ceid.utsa.edu/rena-bizios-elected-to-national-academy-of-engineering/
the-kaneka-foundation-scholarship,https://ceid.utsa.edu/the-kaneka-foundation-scholarship/
klesse-college-hosts-biomedical-device-make-a-thon,https://ceid.utsa.edu/klesse-college-hosts-biomedical-device-make-a-thon/
utsa-professors-using-dod-grant-to-improve-custom-made-metal-production,https://ceid.utsa.edu/utsa-professors-using-dod-grant-to-improve-custom-made-metal-production/
klesse-colleges-focus-on-career-pathways-for-historically-marginalized-students-sees-early-success,https://ceid.utsa.edu/klesse-colleges-focus-on-career-pathways-for-historically-marginalized-students-sees-early-success/
event-highlights-utsa-student-research-supporting-nasa-initiatives,https://ceid.utsa.edu/event-highlights-utsa-student-research-supporting-nasa-initiatives/
klesse-college-announces-tspe-scholarship,https://ceid.utsa.edu/klesse-college-announces-tspe-scholarship/
17513-2,https://ceid.utsa.edu/17513-2/
greg-griffin-discusses-proposed-airport-tunnel-with-san-antonio-express-news,https://ceid.utsa.edu/greg-griffin-discusses-proposed-airport-tunnel-with-san-antonio-express-news/
mechanical-engineering-research-team-identifies-methods-to-predict-future-cyberattacks,https://ceid.utsa.edu/mechanical-engineering-research-team-identifies-methods-to-predict-future-cyberattacks/
hypersonics-lab-at-utsa-preparing-students-for-in-demand-jobs-in-aerospace-industry,https://ceid.utsa.edu/hypersonics-lab-at-utsa-preparing-students-for-in-demand-jobs-in-aerospace-industry/
17553-2,https://ceid.utsa.edu/17553-2/
utsas-prep-prepares-to-welcome-local-students-for-engineering-programming,https://ceid.utsa.edu/utsas-prep-prepares-to-welcome-local-students-for-engineering-programming/
utsas-engineers-without-borders-organization-developing-a-water-distribution-system-for-guatemalan-town,https://ceid.utsa.edu/utsas-engineers-without-borders-organization-developing-a-water-distribution-system-for-guatemalan-town/
utsa-researchers-develop-models-designed-to-improve-success-of-water-rescues,https://ceid.utsa.edu/utsa-researchers-develop-models-designed-to-improve-success-of-water-rescues/
how-a-utsa-grad-went-from-flunking-out-to-designing-a-lower-cost-robotic-prosthetic-hand,https://ceid.utsa.edu/how-a-utsa-grad-went-from-flunking-out-to-designing-a-lower-cost-robotic-prosthetic-hand/
17586-2,https://ceid.utsa.edu/17586-2/
utsa-engineering-students-partner-with-local-organizations-to-solve-challenges,https://ceid.utsa.edu/utsa-engineering-students-partner-with-local-organizations-to-solve-challenges/
17597-2,https://ceid.utsa.edu/17597-2/
